nome,ano,escola,nota_semestre_1,nota_semestre_2,faltas,nota_exame,monitoria
Sophia Alves,2,Pedro II,8.25,2.42,8,9.27,False
Helena Alves,3,Antonio Prado,5.59,7.97,2,4.53,True
Bernardo Oliveira,2,Pedro I,2.13,7.25,27,4.18,False
Miguel Ferreira,3,Carlos Santos,0.57,9.52,19,9.66,True
Gael Silva,3,Francisto Chagas,6.27,7.24,24,1.41,True
Alice Soares,1,Pedro II,1.79,5.83,23,3.4,True
Samuel Alves,1,Antonio Prado,6.73,9.36,6,0,True
Theo Alves,3,Pedro I,8.13,6.52,6,0,False
Miguel Silva,3,Pedro II,6.77,1.01,2,8.7,False
Bernardo Gomes,1,Antonio Prado,9.86,4.14,12,0,True
Valentina Ribeiro,3,Carlos Santos,7.73,5.98,23,3.87,False
Heitor Souza,1,Pedro II,5.44,2.73,3,7.7,False
Laura Ribeiro,1,Carlos Santos,0.03,5.4,29,5.39,False
Laura Oliveira,1,Pedro II,6.83,5.94,14,2.19,True
Sophia Alves,3,Pedro II,4.21,7.21,3,0.59,True
Helena Pereira,3,Gabriel Gomes,3.6,1.79,12,1.97,True
Samuel Santos,3,Francisto Chagas,3.92,5.3,30,3.18,False
Heitor Ferreira,2,Pedro II,1.65,1.84,14,6.13,False
Miguel Gomes,1,Pedro I,3.54,4.03,28,7.32,True
Miguel Soares,3,Pedro II,7.36,5.0,16,5.47,True
Maria Maia,3,Francisto Chagas,3.97,8.59,18,2.82,False
Miguel Souza,3,Pedro I,0.08,2.93,9,7.8,True
Sophia Santos,3,Carlos Santos,1.52,5.2,28,7.11,True
Gael Ferreira,1,Antonio Prado,4.22,6.06,14,6.49,True
Gael Alves,1,Francisto Chagas,4.46,8.51,19,4.83,False
Alice Silva,3,Pedro II,2.43,7.4,19,3.08,True
Davi Martins,3,Francisto Chagas,6.87,2.85,11,0.82,True
Laura Soares,3,Pedro II,2.1,6.75,28,9.82,True
Sophia Ferreira,1,Pedro I,7.63,6.57,18,0,True
Alice Maia,1,Gabriel Gomes,4.43,3.55,22,8.07,False
Maria Silva,2,Pedro II,3.52,5.04,0,4.65,False
Laura Santos,2,Carlos Santos,0.94,8.34,9,6.76,True
Valentina Alves,3,Pedro II,3.29,3.97,8,6.23,False
Gabriel Martins,3,Gabriel Gomes,1.55,7.47,5,1.77,False
Alice Martins,3,Carlos Santos,9.9,8.38,13,0,True
Miguel Alves,1,Pedro II,8.19,6.59,16,0,False
Alice Alves,3,Carlos Santos,1.85,7.31,0,6.39,True
Alice Pereira,3,Francisto Chagas,9.88,2.82,6,0.32,False
Miguel Pereira,1,Francisto Chagas,4.24,1.96,30,9.01,False
Gael Martins,2,Francisto Chagas,9.0,4.32,3,0.01,False
Heloisa Oliveira,2,Pedro I,1.16,1.99,6,1.86,True
Laura Maia,1,Francisto Chagas,1.45,9.01,11,2.39,False
Miguel Santos,1,Gabriel Gomes,5.04,1.83,18,4.89,False
Bernardo Alves,2,Carlos Santos,3.37,2.35,28,3.81,False
Alice Martins,2,Antonio Prado,3.43,3.66,20,5.29,False
Arthur Alves,3,Gabriel Gomes,2.33,5.92,0,8.45,False
Theo Martins,2,Pedro II,6.04,0.42,0,1.29,True
Laura Souza,3,Pedro I,3.02,3.7,24,3.86,False
Theo Gomes,2,Pedro II,0.24,0.26,23,4.44,False
Heloisa Souza,1,Antonio Prado,8.3,5.36,27,4.23,True
Laura Silva,2,Antonio Prado,6.23,9.72,5,0,True
Laura Alves,1,Antonio Prado,7.19,9.6,12,0,False
Bernardo Ferreira,1,Gabriel Gomes,0.86,2.13,11,8.36,True
Maria Martins,3,Antonio Prado,8.13,1.62,24,5.72,True
Laura Soares,2,Pedro I,4.54,8.41,13,0.61,False
Davi Souza,3,Carlos Santos,5.23,1.64,1,6.29,False
Miguel Maia,3,Carlos Santos,5.79,3.55,4,8.16,False
Theo Soares,3,Francisto Chagas,8.39,5.64,12,0,False
Heitor Alves,3,Francisto Chagas,2.76,2.8,19,8.96,False
Helena Gomes,1,Pedro II,7.29,0.73,2,6.87,False
Miguel Rodrigues,1,Pedro II,1.06,8.42,26,9.04,False
Theo Soares,1,Carlos Santos,5.61,6.07,2,1.14,True
Gael Rodrigues,1,Carlos Santos,2.27,5.83,29,3.62,False
Valentina Ribeiro,2,Pedro II,2.92,4.55,18,9.26,False
Samuel Oliveira,3,Pedro II,9.65,2.22,12,9.96,False
Arthur Pereira,2,Francisto Chagas,9.15,1.99,21,8.09,True
Alice Soares,1,Francisto Chagas,4.82,0.65,2,5.69,True
Gael Souza,1,Pedro I,0.35,9.58,8,6.94,False
Gael Ribeiro,3,Gabriel Gomes,5.91,7.87,17,7.01,True
Valentina Soares,3,Antonio Prado,5.02,7.23,10,6.0,True
Maria Santos,3,Pedro II,0.63,9.75,19,4.56,True
Sophia Silva,2,Antonio Prado,2.73,4.65,0,9.56,True
Helena Alves,2,Pedro II,5.84,2.59,24,4.56,False
Maria Alves,2,Pedro II,5.32,0.75,8,7.5,True
Laura Santos,2,Antonio Prado,2.57,8.23,1,6.58,False
Laura Santos,3,Gabriel Gomes,0.03,5.16,23,6.68,False
Arthur Silva,1,Pedro II,4.45,5.34,13,7.39,False
Alice Martins,2,Antonio Prado,3.18,2.15,4,1.44,False
Heloisa Oliveira,2,Carlos Santos,9.88,6.92,23,0,True
Samuel Rodrigues,3,Francisto Chagas,8.66,4.09,19,0.69,True
Gael Souza,1,Pedro I,8.43,2.26,17,4.31,True
Miguel Oliveira,1,Gabriel Gomes,5.43,3.72,13,4.83,True
Maria Alves,1,Gabriel Gomes,5.96,4.55,14,8.28,False
Miguel Pereira,3,Antonio Prado,3.76,8.66,21,3.48,True
Laura Pereira,2,Pedro I,7.46,9.97,15,0,True
Helena Oliveira,1,Carlos Santos,0.76,2.49,28,2.87,False
Samuel Ribeiro,2,Gabriel Gomes,2.37,0.23,29,0.93,True
Samuel Souza,2,Carlos Santos,0.89,7.22,23,4.35,True
Gabriel Silva,1,Gabriel Gomes,1.78,1.38,6,4.96,False
Samuel Rodrigues,1,Gabriel Gomes,2.27,7.37,28,6.97,True
Gabriel Gomes,1,Gabriel Gomes,7.43,4.96,27,4.53,False
Heitor Martins,3,Gabriel Gomes,4.73,1.05,30,5.66,False
Arthur Soares,1,Pedro I,9.25,1.73,22,4.99,False
Gael Rodrigues,1,Pedro II,9.75,5.46,28,0,False
Maria Ribeiro,3,Francisto Chagas,4.25,7.49,18,0.34,False
Gael Alves,2,Carlos Santos,0.5,8.06,0,0.76,True
Bernardo Alves,2,Pedro I,1.56,0.16,19,1.2,False
Laura Rodrigues,3,Antonio Prado,9.2,2.85,18,1.93,True
Maria Gomes,1,Gabriel Gomes,8.15,9.9,0,0,False
Theo Santos,3,Antonio Prado,1.27,4.4,21,6.88,True
Helena Martins,1,Antonio Prado,2.3,1.81,2,6.94,True
Bernardo Pereira,2,Pedro II,6.46,1.31,8,8.46,True
Arthur Pereira,2,Francisto Chagas,8.8,0.73,20,2.46,False
Davi Ribeiro,1,Antonio Prado,1.23,1.36,16,3.73,False
Heloisa Maia,2,Gabriel Gomes,5.86,5.03,6,5.66,True
Davi Ribeiro,3,Antonio Prado,9.71,0.77,4,4.2,True
Maria Souza,1,Pedro I,6.15,1.46,17,7.36,False
Gabriel Santos,1,Pedro I,5.28,5.53,10,6.91,True
Miguel Souza,2,Antonio Prado,0.22,1.25,1,0.2,False
Helena Pereira,3,Gabriel Gomes,1.13,3.27,2,3.28,True
Sophia Martins,3,Gabriel Gomes,8.27,1.12,4,3.18,False
Samuel Souza,3,Pedro I,4.27,8.56,10,7.19,False
Miguel Ribeiro,2,Pedro II,2.34,9.33,13,0.96,True
Theo Rodrigues,1,Carlos Santos,8.44,3.62,25,3.34,True
Laura Alves,3,Antonio Prado,5.61,4.56,5,1.09,True
Valentina Alves,1,Francisto Chagas,2.33,6.25,15,6.67,False
Sophia Ribeiro,1,Antonio Prado,2.3,9.52,27,6.0,False
Samuel Rodrigues,3,Francisto Chagas,6.37,0.2,15,4.99,False
Samuel Alves,2,Pedro II,4.24,3.56,0,6.81,False
Davi Silva,3,Carlos Santos,7.24,6.15,3,4.51,False
Gabriel Alves,3,Pedro I,3.29,2.85,22,8.48,False
Alice Alves,2,Gabriel Gomes,1.11,7.3,16,5.98,True
Theo Martins,1,Francisto Chagas,8.35,4.15,11,9.91,False
Laura Alves,3,Pedro I,5.51,7.99,20,8.05,False
Davi Gomes,3,Gabriel Gomes,6.92,9.78,0,0,False
Heloisa Santos,3,Francisto Chagas,4.15,3.19,5,2.61,True
Arthur Ribeiro,2,Pedro I,1.53,9.96,0,7.47,False
Laura Rodrigues,1,Antonio Prado,7.22,5.81,11,6.07,False
Heloisa Ribeiro,1,Pedro II,3.4,4.6,18,9.28,True
Davi Soares,3,Pedro I,6.0,1.46,26,5.31,False
Alice Santos,2,Antonio Prado,1.94,6.83,17,0.52,True
Gabriel Gomes,3,Carlos Santos,10.0,2.47,16,7.51,True
Bernardo Alves,3,Pedro II,2.05,0.22,15,1.64,False
Theo Souza,1,Francisto Chagas,3.01,0.91,22,1.58,False
Bernardo Rodrigues,3,Antonio Prado,6.14,1.59,29,1.29,False
Alice Rodrigues,1,Francisto Chagas,3.63,0.98,12,2.77,True
Alice Maia,3,Pedro II,9.25,2.84,5,7.97,False
Alice Ribeiro,3,Pedro I,4.86,1.83,25,2.76,True
Maria Ribeiro,1,Pedro II,1.33,0.87,17,9.41,True
Gael Souza,1,Carlos Santos,3.8,8.3,25,1.51,True
Arthur Martins,2,Pedro II,5.47,7.84,21,6.09,True
Miguel Santos,1,Francisto Chagas,5.41,5.41,14,5.5,False
Gabriel Santos,1,Gabriel Gomes,9.19,4.67,4,5.18,False
Helena Silva,2,Carlos Santos,6.36,7.25,14,4.87,False
Laura Silva,3,Antonio Prado,0.51,9.91,0,3.87,True
Samuel Ribeiro,1,Gabriel Gomes,9.1,1.39,29,0.96,True
Valentina Gomes,1,Carlos Santos,9.61,8.34,26,0,True
Heloisa Alves,1,Gabriel Gomes,9.25,1.97,15,0.31,False
Heloisa Soares,2,Pedro II,9.21,5.23,26,0,False
Maria Maia,3,Gabriel Gomes,4.99,0.69,15,1.9,False
Gabriel Alves,3,Francisto Chagas,6.94,2.93,10,1.84,True
Bernardo Soares,2,Carlos Santos,3.57,1.86,0,7.16,True
Davi Gomes,2,Gabriel Gomes,1.81,0.56,24,8.78,True
Bernardo Gomes,1,Antonio Prado,8.36,5.12,23,5.23,False
Sophia Rodrigues,2,Pedro I,2.38,4.39,8,0.41,True
Davi Martins,2,Francisto Chagas,1.65,4.43,24,3.69,False
Samuel Ferreira,1,Pedro I,8.33,1.47,3,0.49,False
Bernardo Oliveira,2,Antonio Prado,9.35,4.77,12,0,True
Heloisa Pereira,3,Gabriel Gomes,1.87,1.02,27,4.59,True
Sophia Pereira,1,Pedro I,9.23,8.53,13,0,False
Miguel Silva,1,Antonio Prado,7.89,8.58,27,0,False
Heitor Gomes,2,Francisto Chagas,2.9,7.74,3,6.45,True
Alice Santos,1,Pedro I,6.43,9.39,5,0,True
Heitor Souza,3,Pedro I,6.91,8.41,26,0,False
Theo Rodrigues,2,Pedro II,0.59,9.29,21,4.43,True
Gabriel Ribeiro,2,Pedro II,1.37,2.37,21,3.11,False
Gabriel Souza,1,Carlos Santos,4.67,6.53,23,1.48,True
Helena Souza,1,Carlos Santos,3.47,2.85,12,9.01,False
Gabriel Alves,2,Carlos Santos,0.38,9.6,0,5.9,False
Gael Ferreira,3,Pedro I,8.62,6.08,22,0,False
Helena Alves,2,Pedro I,3.67,5.81,4,1.37,False
Helena Pereira,1,Pedro II,2.7,6.15,5,8.28,False
Alice Gomes,2,Francisto Chagas,6.8,9.1,11,0,True
Miguel Souza,1,Pedro II,3.24,7.83,21,5.56,True
Laura Souza,1,Antonio Prado,3.97,8.45,30,0.75,False
Theo Souza,3,Carlos Santos,0.13,0.28,3,1.92,False
Miguel Gomes,3,Antonio Prado,1.23,3.64,16,3.94,True
Sophia Silva,2,Pedro I,8.21,6.34,11,0,False
Bernardo Rodrigues,3,Carlos Santos,2.78,1.12,17,4.01,True
Heloisa Alves,3,Carlos Santos,4.49,2.76,17,2.52,True
Valentina Martins,3,Antonio Prado,6.99,1.18,25,1.66,False
Laura Ribeiro,3,Carlos Santos,7.36,0.68,30,5.33,False
Heloisa Alves,2,Carlos Santos,0.06,9.47,3,3.42,True
Valentina Pereira,3,Carlos Santos,2.34,4.25,7,2.03,True
Alice Soares,1,Francisto Chagas,2.7,3.36,24,5.62,False
Laura Rodrigues,3,Francisto Chagas,5.12,3.02,30,6.71,True
Miguel Silva,2,Antonio Prado,4.34,6.59,23,3.65,False
Miguel Alves,1,Francisto Chagas,6.3,3.17,21,1.57,True
Gael Silva,1,Pedro II,7.25,7.29,1,0,False
Bernardo Alves,3,Antonio Prado,3.1,0.4,27,2.75,False
Bernardo Soares,1,Carlos Santos,1.69,0.94,26,3.6,True
Gael Gomes,3,Francisto Chagas,6.78,7.76,7,0,True
Helena Silva,2,Antonio Prado,6.6,7.31,25,5.6,False
Heitor Silva,3,Pedro II,2.84,6.58,20,6.38,False
Theo Oliveira,2,Francisto Chagas,8.05,1.38,27,4.3,False
Gael Soares,1,Antonio Prado,1.27,2.3,0,5.82,True
Alice Oliveira,3,Carlos Santos,2.62,6.06,29,2.52,True
Heloisa Rodrigues,1,Gabriel Gomes,9.73,9.64,25,0,True
Miguel Maia,3,Antonio Prado,6.22,7.09,6,4.91,True
Gabriel Alves,1,Pedro I,2.9,4.16,1,6.86,False
Bernardo Oliveira,2,Francisto Chagas,2.11,3.97,12,0.54,False
Theo Maia,2,Pedro I,5.5,8.02,29,0.29,False
Heloisa Pereira,2,Carlos Santos,3.68,6.15,24,9.42,True
Maria Rodrigues,3,Pedro I,9.01,3.86,22,5.27,False
Valentina Rodrigues,1,Francisto Chagas,9.51,5.7,24,0,False
Bernardo Santos,1,Antonio Prado,0.95,0.99,21,0.16,True
Arthur Santos,1,Pedro II,3.99,8.67,22,4.04,True
Theo Maia,2,Pedro II,5.94,0.54,25,2.21,False
Laura Ribeiro,1,Carlos Santos,6.8,2.16,4,4.88,False
Miguel Soares,2,Pedro II,2.77,7.66,0,1.84,True
Maria Pereira,2,Gabriel Gomes,4.06,2.27,14,1.51,True
Samuel Santos,3,Antonio Prado,4.78,5.71,0,5.38,True
Theo Martins,3,Francisto Chagas,9.71,8.33,11,0,False
Davi Ribeiro,2,Pedro I,7.48,1.1,15,1.57,True
Laura Soares,2,Pedro I,3.11,7.61,27,0.6,True
Laura Soares,1,Antonio Prado,5.73,5.21,2,0.9,True
Arthur Martins,3,Pedro I,4.3,2.46,14,7.96,False
Bernardo Ribeiro,2,Pedro II,8.54,4.6,13,2.27,False
Helena Ribeiro,2,Carlos Santos,0.09,9.61,2,5.68,True
Gabriel Oliveira,2,Antonio Prado,7.52,6.21,16,7.89,False
Heloisa Alves,2,Antonio Prado,9.99,6.99,25,0,False
Gabriel Oliveira,3,Carlos Santos,0.63,7.13,27,8.29,False
Arthur Souza,3,Francisto Chagas,7.36,1.48,3,4.5,False
Laura Pereira,2,Pedro II,8.75,7.54,26,0,False
Helena Ribeiro,2,Pedro II,3.33,0.12,21,5.05,False
Samuel Martins,3,Pedro I,4.23,1.11,7,3.97,True
Samuel Ribeiro,1,Carlos Santos,8.52,3.77,20,5.68,True
Valentina Pereira,3,Antonio Prado,9.47,9.5,19,0,False
Theo Alves,2,Gabriel Gomes,4.09,9.7,22,7.72,True
Davi Ferreira,1,Pedro II,2.91,3.87,9,8.42,True
Gael Gomes,3,Gabriel Gomes,6.59,7.91,23,0,True
Theo Pereira,2,Carlos Santos,6.79,3.95,17,5.38,False
Bernardo Souza,1,Francisto Chagas,2.7,2.99,4,7.73,True
Valentina Souza,3,Pedro I,2.87,1.47,3,1.62,False
Laura Ribeiro,3,Carlos Santos,1.85,0.5,5,4.62,True
Alice Santos,1,Pedro II,9.7,6.34,20,0,True
Sophia Oliveira,1,Antonio Prado,5.84,8.91,17,0,True
Laura Pereira,3,Pedro I,9.71,6.5,16,0,True
Arthur Soares,1,Pedro I,1.79,4.79,6,3.53,True
Valentina Gomes,2,Pedro II,2.4,0.69,14,5.83,True
Gael Santos,1,Carlos Santos,2.92,3.74,17,0.55,False
Gael Maia,3,Francisto Chagas,1.62,9.06,9,7.13,True
Heloisa Alves,1,Francisto Chagas,9.19,7.21,11,0,False
Heitor Silva,1,Gabriel Gomes,7.48,0.36,21,6.68,True
Bernardo Martins,2,Gabriel Gomes,7.9,4.16,29,1.12,False
Alice Martins,1,Antonio Prado,1.25,9.79,5,2.25,False
Maria Silva,3,Pedro II,8.67,0.46,9,9.63,True
Heitor Santos,1,Carlos Santos,3.77,0.82,27,4.48,True
Heloisa Silva,3,Gabriel Gomes,4.25,5.59,29,9.04,False
Heitor Alves,2,Francisto Chagas,6.38,4.18,7,4.4,True
Maria Soares,2,Gabriel Gomes,9.95,3.7,17,0.95,False
Heloisa Alves,1,Carlos Santos,5.09,6.47,15,1.88,False
Gabriel Silva,1,Gabriel Gomes,8.47,5.12,16,1.06,False
Theo Alves,1,Pedro I,1.09,1.66,23,6.08,False
Bernardo Alves,3,Francisto Chagas,7.49,4.96,28,6.24,True
Heitor Ribeiro,1,Francisto Chagas,7.92,7.54,19,0,True
Heloisa Pereira,3,Antonio Prado,3.85,9.54,25,8.73,True
Bernardo Soares,1,Gabriel Gomes,0.8,0.73,23,1.58,False
Samuel Ribeiro,3,Pedro I,2.82,8.88,0,4.82,True
Gabriel Soares,1,Francisto Chagas,6.25,7.85,19,0,False
Theo Ribeiro,2,Gabriel Gomes,7.6,9.59,6,0,False
Alice Gomes,1,Gabriel Gomes,6.37,9.62,26,0,True
Samuel Souza,1,Antonio Prado,7.24,0.18,26,1.87,True
Davi Pereira,3,Gabriel Gomes,5.07,1.34,4,6.02,False
Alice Oliveira,2,Pedro II,8.07,8.94,9,0,False
Laura Rodrigues,3,Pedro II,2.97,5.83,25,6.37,True
Helena Gomes,3,Francisto Chagas,3.33,0.36,26,1.07,True
Davi Santos,2,Pedro II,3.09,2.64,2,2.27,False
Heloisa Gomes,2,Carlos Santos,0.97,6.08,11,9.25,True
Arthur Rodrigues,2,Gabriel Gomes,8.61,4.37,3,2.13,True
Laura Soares,1,Carlos Santos,1.8,3.85,29,5.51,False
Theo Alves,2,Gabriel Gomes,2.81,7.72,26,0.28,False
Bernardo Pereira,3,Pedro II,6.3,7.23,7,1.0,True
Laura Silva,1,Gabriel Gomes,3.59,3.56,22,0.31,True
Gael Gomes,1,Pedro I,0.05,2.13,29,7.83,True
Maria Alves,2,Pedro I,5.99,2.7,27,9.34,True
Miguel Ferreira,1,Pedro II,2.67,4.11,26,0.2,True
Gabriel Alves,1,Pedro I,7.52,9.73,4,0,True
Heitor Maia,3,Carlos Santos,1.49,0.12,4,7.82,False
Alice Ribeiro,1,Pedro II,9.74,1.61,17,0.39,False
Arthur Santos,3,Antonio Prado,7.21,2.0,20,1.23,False
Helena Pereira,3,Antonio Prado,9.59,5.06,6,0,True
Alice Gomes,3,Carlos Santos,5.79,4.94,4,4.45,False
Alice Ferreira,2,Pedro II,6.31,2.55,9,0.04,False
Arthur Ribeiro,1,Pedro II,6.23,8.9,8,0,False
Theo Santos,3,Antonio Prado,6.24,7.72,3,7.73,False
Helena Martins,3,Gabriel Gomes,0.98,5.16,14,1.44,True
Heitor Pereira,1,Antonio Prado,2.49,1.76,22,3.27,False
Laura Martins,3,Pedro II,0.76,3.04,17,5.22,True
Sophia Ferreira,2,Pedro II,6.68,6.4,10,9.94,False
Heloisa Gomes,3,Gabriel Gomes,0.32,0.91,23,2.06,False
Sophia Rodrigues,2,Francisto Chagas,0.44,0.78,7,2.08,False
Bernardo Santos,1,Pedro II,8.2,0.83,3,2.44,False
Helena Soares,1,Carlos Santos,2.4,3.99,2,0.22,True
Davi Martins,1,Pedro I,1.09,1.75,29,9.3,False
Theo Santos,2,Antonio Prado,7.4,6.46,8,5.67,True
Heitor Alves,3,Carlos Santos,9.58,3.71,0,7.6,True
Samuel Oliveira,2,Gabriel Gomes,4.65,0.12,12,3.93,True
Valentina Alves,3,Francisto Chagas,6.39,2.38,20,7.83,False
Gabriel Gomes,3,Pedro II,6.92,6.83,8,3.8,False
Davi Silva,2,Pedro I,6.42,5.89,4,0.88,True
Miguel Ferreira,2,Francisto Chagas,5.43,7.63,28,7.63,True
Sophia Rodrigues,1,Francisto Chagas,9.5,9.9,0,0,True
Arthur Alves,1,Pedro II,8.94,0.88,19,7.25,True
Sophia Martins,2,Gabriel Gomes,2.1,4.52,3,1.43,True
Valentina Alves,3,Carlos Santos,8.66,1.8,1,5.2,True
Arthur Gomes,2,Pedro II,1.06,5.02,26,5.25,True
Helena Rodrigues,2,Carlos Santos,0.11,6.18,13,4.32,False
Alice Oliveira,2,Antonio Prado,0.96,8.15,5,6.47,False
Samuel Soares,2,Francisto Chagas,2.02,4.89,21,8.67,True
Sophia Souza,3,Pedro I,2.48,7.44,8,9.57,True
Heitor Alves,3,Antonio Prado,3.5,8.21,5,6.02,False
Alice Oliveira,1,Antonio Prado,8.94,3.03,8,0.62,True
Maria Ribeiro,2,Gabriel Gomes,2.21,0.35,15,5.1,False
Arthur Oliveira,3,Antonio Prado,3.07,3.33,27,9.86,False
Helena Oliveira,3,Carlos Santos,1.86,6.94,15,3.18,False
Heitor Pereira,2,Pedro I,8.3,5.32,25,6.25,False
Alice Ribeiro,1,Francisto Chagas,3.51,8.85,27,2.58,True
Valentina Silva,2,Pedro II,7.36,2.04,16,1.8,True
Miguel Martins,3,Pedro I,8.69,3.86,24,7.0,False
Helena Souza,1,Antonio Prado,4.09,2.38,0,5.57,True
Sophia Silva,1,Antonio Prado,9.17,4.79,14,3.09,False
Arthur Martins,2,Antonio Prado,3.52,3.27,6,4.66,True
Laura Alves,1,Francisto Chagas,7.65,9.17,28,0,False
Miguel Pereira,3,Gabriel Gomes,9.98,1.31,8,3.6,False
Heloisa Souza,2,Gabriel Gomes,9.22,3.7,18,0.21,True
Heloisa Ribeiro,2,Francisto Chagas,3.21,6.36,7,7.41,True
Valentina Rodrigues,1,Francisto Chagas,3.0,9.17,16,7.85,True
Alice Oliveira,3,Gabriel Gomes,0.55,1.73,27,3.62,False
Miguel Alves,3,Carlos Santos,9.62,0.01,29,0.81,False
Heitor Silva,1,Gabriel Gomes,0.15,9.25,27,1.66,False
Valentina Ferreira,1,Pedro I,4.98,3.38,17,4.44,False
Gabriel Pereira,3,Pedro I,8.61,5.3,0,5.95,False
Helena Martins,3,Pedro II,0.82,9.92,12,0.32,False
Heitor Martins,1,Carlos Santos,3.56,9.29,14,2.01,True
Arthur Ferreira,2,Gabriel Gomes,7.62,3.31,5,7.36,False
Heloisa Maia,2,Francisto Chagas,7.36,1.92,1,3.07,True
Arthur Pereira,1,Carlos Santos,6.56,4.21,25,0.72,True
Laura Pereira,3,Francisto Chagas,6.91,2.65,17,6.9,False
Alice Martins,2,Francisto Chagas,7.14,8.01,17,0,False
Laura Silva,3,Pedro II,6.43,4.43,15,0.35,True
Alice Alves,2,Pedro II,7.18,9.68,26,0,True
Theo Maia,3,Francisto Chagas,7.35,3.22,15,8.69,True
Bernardo Oliveira,3,Carlos Santos,4.2,2.61,28,3.48,True
Laura Martins,2,Francisto Chagas,4.49,0.11,0,9.84,True
Sophia Gomes,3,Pedro II,4.6,0.91,16,3.93,True
Miguel Martins,3,Antonio Prado,9.02,1.21,25,7.5,False
Alice Maia,3,Francisto Chagas,0.56,9.05,16,8.11,False
Sophia Soares,3,Pedro II,6.32,8.47,2,0,True
Helena Silva,2,Gabriel Gomes,3.2,8.25,12,3.27,False
Gabriel Ribeiro,2,Gabriel Gomes,4.76,0.5,9,2.93,True
Heitor Rodrigues,2,Carlos Santos,1.66,3.81,22,6.99,False
Bernardo Oliveira,3,Gabriel Gomes,5.71,3.9,12,6.33,False
Laura Ferreira,3,Antonio Prado,7.34,8.91,5,0,False
Helena Soares,2,Pedro I,5.99,2.34,0,2.5,False
Sophia Gomes,3,Gabriel Gomes,3.69,3.52,24,4.68,True
Miguel Silva,2,Pedro I,8.52,9.3,12,0,False
Davi Alves,1,Carlos Santos,6.56,9.43,9,0,True
Theo Alves,1,Carlos Santos,5.73,3.18,15,4.83,True
Sophia Maia,3,Francisto Chagas,1.33,5.07,2,7.84,False
Davi Oliveira,1,Gabriel Gomes,7.04,4.99,27,5.45,False
Heitor Gomes,1,Antonio Prado,8.87,6.28,4,0,False
Theo Silva,3,Antonio Prado,7.81,6.98,17,0,False
Arthur Martins,2,Pedro I,8.95,0.45,26,4.85,True
Laura Alves,1,Pedro I,0.26,0.49,9,0.65,False
Miguel Ferreira,2,Gabriel Gomes,2.62,8.64,26,1.81,True
Samuel Maia,3,Gabriel Gomes,1.65,0.96,27,4.7,False
Gabriel Ferreira,1,Carlos Santos,3.73,0.83,30,7.18,True
Gael Soares,3,Antonio Prado,0.6,0.25,30,7.74,True
Valentina Silva,3,Antonio Prado,4.97,9.75,17,0,False
Alice Alves,2,Gabriel Gomes,0.82,8.53,10,1.96,False
Gabriel Ferreira,1,Antonio Prado,7.98,3.45,7,2.96,True
Gael Pereira,3,Antonio Prado,8.41,3.6,23,2.44,False
Laura Alves,3,Antonio Prado,6.22,7.68,3,6.18,False
Alice Maia,3,Pedro II,8.6,8.5,6,0,True
Theo Maia,2,Pedro I,5.84,5.21,8,8.52,True
Heloisa Gomes,2,Carlos Santos,2.76,8.62,23,6.08,True
Bernardo Alves,1,Pedro I,5.81,8.17,27,6.28,True
Davi Souza,1,Francisto Chagas,0.1,3.34,1,4.94,False
Arthur Soares,1,Pedro I,0.64,3.53,18,6.11,False
Heloisa Alves,1,Antonio Prado,6.08,0.75,17,0.89,False
Bernardo Souza,2,Carlos Santos,5.27,7.66,26,0.38,False
Sophia Maia,3,Francisto Chagas,8.57,9.49,6,0,True
Miguel Rodrigues,3,Antonio Prado,9.69,9.45,10,0,True
Heitor Ferreira,2,Pedro I,6.92,0.46,21,1.3,True
Miguel Soares,3,Carlos Santos,6.95,4.99,21,3.41,False
Sophia Silva,1,Gabriel Gomes,7.08,9.87,1,0,True
Bernardo Maia,1,Pedro II,8.25,8.23,17,0,False
Theo Pereira,3,Pedro II,9.65,5.22,5,0,False
Maria Oliveira,1,Pedro II,9.3,0.71,4,4.16,True
Miguel Rodrigues,1,Pedro I,1.73,9.0,18,6.84,True
Heitor Gomes,1,Carlos Santos,4.39,9.24,3,8.03,True
Alice Rodrigues,3,Gabriel Gomes,5.22,6.69,7,3.66,True
Davi Ferreira,2,Pedro I,1.51,4.48,6,1.61,True
Heloisa Gomes,3,Gabriel Gomes,4.84,7.15,9,8.56,False
Miguel Rodrigues,3,Francisto Chagas,8.23,9.17,21,0,True
Arthur Gomes,1,Antonio Prado,2.51,3.22,20,0.1,True
Heitor Oliveira,1,Pedro I,5.33,2.09,6,9.39,False
Alice Santos,2,Antonio Prado,7.72,8.8,6,0,True
Gael Alves,2,Carlos Santos,4.31,7.79,8,6.74,False
Laura Soares,2,Gabriel Gomes,2.81,5.64,2,9.15,True
Miguel Martins,1,Pedro II,8.23,1.42,30,4.69,True
Heitor Souza,3,Francisto Chagas,0.63,6.96,16,6.58,True
Helena Alves,2,Carlos Santos,3.62,3.36,24,6.24,False
Sophia Alves,3,Gabriel Gomes,5.2,7.71,2,5.04,True
Theo Oliveira,3,Pedro I,5.93,9.9,6,0,True
Gabriel Martins,1,Francisto Chagas,9.02,0.11,27,7.86,False
Maria Oliveira,2,Gabriel Gomes,7.47,9.05,5,0,False
Samuel Gomes,2,Pedro II,4.46,1.91,17,8.68,False
